date,open,high,low,close
2012-12-12,0.317250,0.319000,0.311750,0.313000
2012-12-13,0.312500,0.319250,0.310250,0.313250
2012-12-14,0.314500,0.318000,0.312250,0.314750
2012-12-17,0.314000,0.315750,0.308750,0.313500
2012-12-18,0.313500,0.317500,0.312500,0.314000
2012-12-19,0.316250,0.320000,0.315000,0.316250
2012-12-20,0.317500,0.317750,0.312500,0.316000
2012-12-21,0.311750,0.311750,0.305250,0.308750
2012-12-24,0.308500,0.309500,0.305250,0.306250
2012-12-26,0.305500,0.310500,0.304750,0.306000
2012-12-27,0.306500,0.307000,0.300500,0.304000
2012-12-28,0.301250,0.307250,0.300750,0.302500
2012-12-31,0.301500,0.307750,0.300750,0.306500
2013-01-02,0.314000,0.318250,0.312750,0.318000
2013-01-03,0.318000,0.321750,0.314500,0.318250
2013-01-04,0.318750,0.329750,0.317750,0.328750
2013-01-07,0.328500,0.329500,0.317000,0.319250
2013-01-08,0.320000,0.321000,0.310000,0.312250
2013-01-09,0.314750,0.316250,0.303250,0.305250
2013-01-10,0.308000,0.309500,0.304000,0.305750
2013-01-11,0.307000,0.307250,0.302250,0.305250
2013-01-14,0.307250,0.307250,0.301500,0.305000
2013-01-15,0.303500,0.303500,0.297750,0.299500
2013-01-16,0.299000,0.304750,0.299000,0.302250
2013-01-17,0.303250,0.307500,0.302500,0.306250
2013-01-18,0.306250,0.306250,0.300500,0.304250
2013-01-22,0.304000,0.306750,0.301250,0.302750
2013-01-23,0.303750,0.304000,0.300000,0.303250
2013-01-24,0.302250,0.306000,0.300750,0.304750
2013-01-25,0.305250,0.310500,0.303750,0.310250
2013-01-28,0.311750,0.317250,0.311000,0.315250
2013-01-29,0.314000,0.314750,0.307250,0.308500
2013-01-30,0.308750,0.313000,0.307000,0.308000
2013-01-31,0.308000,0.311500,0.304500,0.306500
2013-02-01,0.309000,0.310250,0.306500,0.309250
2013-02-04,0.307500,0.313750,0.303750,0.304000
2013-02-05,0.305500,0.312750,0.304500,0.311000
2013-02-06,0.303500,0.311000,0.301750,0.308500
2013-02-07,0.307500,0.310000,0.304250,0.307250
2013-02-08,0.309250,0.311750,0.307250,0.309250
2013-02-11,0.311750,0.316000,0.308750,0.312750
2013-02-12,0.310000,0.314250,0.309500,0.310750
2013-02-13,0.311000,0.316750,0.308250,0.309250
2013-02-14,0.305000,0.318500,0.301250,0.318250
